dwd_base_event_log.mid_id       dwd_base_event_log.user_id      dwd_base_event_log.version_code dwd_base_event_log.version_name dwd_base_event_log.lang dwd_base_event_log.source       dwd_base_event_log.os   dwd_base_event_log.area dwd_base_event_log.model dwd_base_event_log.brand        dwd_base_event_log.sdk_version  dwd_base_event_log.gmail        dwd_base_event_log.height_width dwd_base_event_log.app_time     dwd_base_event_log.network      dwd_base_event_log.lng   dwd_base_event_log.lat  dwd_base_event_log.event_name   dwd_base_event_log.event_json   dwd_base_event_log.server_time  dwd_base_event_log.dt

1       1       19      1.3.9   en      H       8.0.7   MX      HTC-10  HTC     V2.6.7  7736A6CX@gmail.com      1080*1920       1566125162959   WIFI    -113.3  -27.6   display {"ett":"1566152151177","en":"display","kv":{"goodsid":"0","action":"1","extend1":"2","place":"4","category":"41"}}       1566213874611   2019-08-19


1       1       19      1.3.9   en      H       8.0.7   MX      HTC-10  HTC     V2.6.7  7736A6CX@gmail.com      1080*1920       1566125162959   WIFI    -113.3  -27.6   newsdetail      {"ett":"1566160372124","en":"newsdetail","kv":{"entry":"2","goodsid":"1","news_staytime":"3","loading_time":"18","action":"4","showtype":"3","category":"60","type1":"325"}}     1566213874611   2019-08-19


1       1       19      1.3.9   en      H       8.0.7   MX      HTC-10  HTC     V2.6.7  7736A6CX@gmail.com      1080*1920       1566125162959   WIFI    -113.3  -27.6   loading {"ett":"1566129895127","en":"loading","kv":{"extend2":"","loading_time":"28","action":"3","extend1":"","type":"1","type1":"","loading_way":"1"}} 1566213874611   2019-08-19


1       1       19      1.3.9   en      H       8.0.7   MX      HTC-10  HTC     V2.6.7  7736A6CX@gmail.com      1080*1920       1566125162959   WIFI    -113.3  -27.6   ad      {"ett":"1566148592394","en":"ad","kv":{"entry":"1","show_style":"5","action":"2","detail":"542","source":"2","behavior":"2","content":"1","newstype":"8"}}       1566213874611   2019-08-19

1       1       19      1.3.9   en      H       8.0.7   MX      HTC-10  HTC     V2.6.7  7736A6CX@gmail.com      1080*1920       1566125162959   WIFI    -113.3  -27.6   notification    {"ett":"1566184899190","en":"notification","kv":{"ap_time":"1566135929623","action":"3","type":"3","content":""}}        1566213874611   2019-08-19

1       1       19      1.3.9   en      H       8.0.7   MX      HTC-10  HTC     V2.6.7  7736A6CX@gmail.com      1080*1920       1566125162959   WIFI    -113.3  -27.6   active_foreground       {"ett":"1566143747294","en":"active_foreground","kv":{"access":"","push_id":"1"}}        1566213874611   2019-08-19

