dwd_display_log.mid_id  dwd_display_log.user_id dwd_display_log.version_code    dwd_display_log.version_name    dwd_display_log.lang    dwd_display_log.source  dwd_display_log.os      dwd_display_log.area    dwd_display_log.model   dwd_display_log.brand    dwd_display_log.sdk_version     dwd_display_log.gmail   dwd_display_log.height_width    dwd_display_log.app_time        dwd_display_log.network dwd_display_log.lng     dwd_display_log.lat     dwd_display_log.action   dwd_display_log.goodsid dwd_display_log.place   dwd_display_log.extend1 dwd_display_log.category        dwd_display_log.server_time     dwd_display_log.dt
1       1       19      1.3.9   en      H       8.0.7   MX      HTC-10  HTC     V2.6.7  7736A6CX@gmail.com      1080*1920       1566125162959   WIFI    -113.3  -27.6   1       0       4       2       41      1566213874611   2019-08-19

8       8       9       1.3.3   en      J       8.0.2   MX      Huawei-14       Huawei  V2.5.0  F595FAET@gmail.com      750*1134        1566153878583   3G      -59.9   8.2     2       1       1       2       31      1566213874982   2019-08-19

22      22      1       1.2.3   pt      S       8.2.2   MX      sumsung-6       Sumsung V2.7.8  684OYVJ2@gmail.com      750*1134        1566185085255   3G      -64.9   22.0    2       2       2       1       33      1566213874999   2019-08-19

33      33      15      1.2.4   es      M       8.0.8   MX      HTC-14  HTC     V2.3.2  KFU85IA8@gmail.com      1080*1920       1566123157383   WIFI    -83.0   18.6    1       3       5       1       54      1566213875133   2019-08-19

40      40      15      1.1.0   pt      Z       8.0.3   MX      sumsung-7       Sumsung V2.7.4  058T78FU@gmail.com      750*1134        1566155862913   3G      -118.6  -32.8   1       4       3       2       93      1566213875266   2019-08-19

43      43      3       1.1.8   pt      O       8.2.5   MX      Huawei-19       Huawei  V2.0.6  5XG43T24@gmail.com      1080*1920       1566138397044   4G      -83.2   -48.7   1       5       4       2       82      1566213876933   2019-08-19

45      45      12      1.3.7   en      L       8.1.3   MX      sumsung-6       Sumsung V2.4.2  EE80UO0W@gmail.com      750*1134        1566203379229   WIFI    -54.6   -53.7   1       6       3       2       86      1566213876934   2019-08-19

50      50      5       1.0.9   es      L       8.0.0   MX      HTC-19  HTC     V2.4.6  2C58KKC6@gmail.com      640*1136        1566176680550   WIFI    -119.4  -11.0   1       7       5       2       94      1566213877084   2019-08-19

52      52      6       1.2.0   es      W       8.2.7   MX      sumsung-10      Sumsung V2.8.9  3U8R7BMX@gmail.com      640*1136        1566182274506   4G      -106.6  13.4    2       8       3       1       28      1566213877085   2019-08-19

