dws_uv_detail_wk.mid_id dws_uv_detail_wk.user_id        dws_uv_detail_wk.version_code   dws_uv_detail_wk.version_name   dws_uv_detail_wk.lang   dws_uv_detail_wk.source dws_uv_detail_wk.os     dws_uv_detail_wk.area   dws_uv_detail_wk.model   dws_uv_detail_wk.brand  dws_uv_detail_wk.sdk_version    dws_uv_detail_wk.gmail  dws_uv_detail_wk.height_width   dws_uv_detail_wk.app_time       dws_uv_detail_wk.network        dws_uv_detail_wk.lng    dws_uv_detail_wk.lat    dws_uv_detail_wk.monday_date     dws_uv_detail_wk.sunday_date    dws_uv_detail_wk.wk_dt
 
0       0       0       1.3.0   en      W       8.0.9   MX      HTC-0   HTC     V2.8.5  9E18VUDP@gmail.com      640*960 1566156994125   WIFI    -86.8   -18.1   2019-08-19      2019-08-25      2019-08-19_2019-08-25

1       1       2       1.1.1   en      J       8.1.4   MX      HTC-14  HTC     V2.2.4  4R6S23YI@gmail.com      750*1134        1566207159408   3G      -112.1  7.3     2019-08-19      2019-08-25      2019-08-19_2019-08-25

10      10      19      1.2.9   pt      L       8.2.1   MX      HTC-11  HTC     V2.2.6  257IAQT0@gmail.com      640*1136        1566178949265   3G      -103.7  24.4    2019-08-19      2019-08-25      2019-08-19_2019-08-25

100     100     3       1.3.4   en      U       8.1.9   MX      HTC-4   HTC     V2.9.4  YLNQ0N84@gmail.com      640*960 1566175879497   4G      -76.9   -9.7    2019-08-19      2019-08-25      2019-08-19_2019-08-25

101     101     5       1.3.8   en      C       8.0.1   MX      HTC-6   HTC     V2.0.4  IM55V05Q@gmail.com      640*1136        1566181303985   4G      -83.3   -1.9    2019-08-19      2019-08-25      2019-08-19_2019-08-25

